Audio Fragment,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Raw Chroma Accuracy,Overall Accuracy
allemande_first_fragment_nicolet,"1,0000","0,9971","0,5069","0,5966","0,4846"
allemande_first_fragment_larrieu,"1,0000","0,9951","0,5648","0,6277","0,5503"
allemande_second_fragment_gerard,"1,0000","0,9966","0,5392","0,6440","0,5154"
allemande_second_fragment_preston,"1,0000","0,9970","0,0278","0,0390","0,0268"
allemande_third_fragment_rampal,"1,0000","0,9946","0,5734","0,6787","0,5509"
allemande_third_fragment_nicolet,"1,0000","0,9333","0,4214","0,5240","0,4203"
allemande_fourth_fragment_larrieu,"1,0000","0,9951","0,4853","0,6035","0,4698"
allemande_fourth_fragment_gerard,"1,0000","0,9939","0,5607","0,7319","0,5451"
allemande_fifth_fragment_preston,"1,0000","0,9982","0,0080","0,0195","0,0076"
allemande_fifth_fragment_rampal,"1,0000","0,9983","0,2374","0,3295","0,2157"
syrinx_first_fragment_douglas,"1,0000","0,9055","0,8396","0,8771","0,7266"
syrinx_first_fragment_bernold,"1,0000","0,9994","0,9158","0,9228","0,7561"
syrinx_second_fragment_dwyer,"1,0000","0,9989","0,9121","0,9269","0,8238"
syrinx_second_fragment_bourdin,"1,0000","0,9994","0,8864","0,9028","0,7392"
syrinx_third_fragment_rhodes,"1,0000","0,9991","0,3007","0,3169","0,2664"
syrinx_third_fragment_douglas,"1,0000","0,9976","0,8025","0,8705","0,7666"
syrinx_fourth_fragment_bernold,"1,0000","0,9984","0,7468","0,7695","0,6873"
syrinx_fourth_fragment_dwyer,"1,0000","0,9989","0,8277","0,8691","0,7522"
syrinx_fifth_fragment_bourdin,"1,0000","0,9996","0,5479","0,5609","0,4742"
syrinx_fifth_fragment_rhodes,"1,0000","0,9997","0,3581","0,3619","0,2983"
density_first_fragment_zoon,"1,0000","0,9995","0,8899","0,8986","0,7836"
density_second_fragment_zoon,"1,0000","0,9995","0,9218","0,9341","0,7754"
density_third_fragment_zoon,"1,0000","0,9998","0,8541","0,8801","0,5383"
density_fourth_fragment_beauregard,"1,0000","0,9995","0,6930","0,7195","0,5853"
density_fifth_fragment_beauregard,"1,0000","0,9995","0,9475","0,9492","0,7838"
density_sixth_fragment_beauregard,"1,0000","0,9994","0,8554","0,8896","0,7708"
sequenza_first_fragment_robison,"1,0000","0,9993","0,6666","0,7124","0,5801"
sequenza_second_fragment_robison,"1,0000","0,9988","0,5990","0,6993","0,5096"
sequenza_fourth_fragment_robison,"1,0000","0,9996","0,6375","0,6607","0,5426"
sequenza_sixth_fragment_robison,"1,0000","0,9991","0,2417","0,3445","0,1984"
