Audio Fragment,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Raw Chroma Accuracy,Overall Accuracy
allemande_first_fragment_nicolet,"1,000","0,997","0,502","0,592","0,480"
allemande_first_fragment_larrieu,"1,000","0,995","0,471","0,564","0,459"
allemande_second_fragment_gerard,"1,000","0,997","0,706","0,814","0,674"
allemande_second_fragment_preston,"1,000","0,997","0,010","0,033","0,010"
allemande_third_fragment_rampal,"1,000","0,995","0,606","0,695","0,582"
allemande_third_fragment_nicolet,"1,000","0,933","0,588","0,669","0,586"
allemande_fourth_fragment_larrieu,"1,000","0,995","0,519","0,612","0,502"
allemande_fourth_fragment_gerard,"1,000","0,994","0,674","0,751","0,655"
allemande_fifth_fragment_preston,"1,000","0,998","0,002","0,017","0,002"
allemande_fifth_fragment_rampal,"1,000","0,998","0,214","0,296","0,194"
syrinx_first_fragment_douglas,"1,000","0,905","0,921","0,931","0,795"
syrinx_first_fragment_bernold,"1,000","0,999","0,817","0,843","0,674"
syrinx_second_fragment_dwyer,"1,000","0,999","0,849","0,922","0,766"
syrinx_second_fragment_bourdin,"1,000","0,999","0,832","0,853","0,694"
syrinx_third_fragment_rhodes,"1,000","0,999","0,265","0,300","0,234"
syrinx_third_fragment_douglas,"1,000","0,998","0,806","0,901","0,770"
syrinx_fourth_fragment_bernold,"1,000","0,998","0,677","0,689","0,623"
syrinx_fourth_fragment_dwyer,"1,000","0,999","0,829","0,857","0,754"
syrinx_fifth_fragment_bourdin,"1,000","1,000","0,492","0,554","0,426"
syrinx_fifth_fragment_rhodes,"1,000","1,000","0,552","0,570","0,460"
density_first_fragment_zoon,"1,000","1,000","0,823","0,858","0,725"
density_second_fragment_zoon,"1,000","0,999","0,854","0,882","0,718"
density_third_fragment_zoon,"1,000","1,000","0,816","0,888","0,514"
density_fourth_fragment_beauregard,"1,000","0,999","0,564","0,601","0,477"
density_fifth_fragment_beauregard,"1,000","1,000","0,873","0,918","0,723"
density_sixth_fragment_beauregard,"1,000","0,999","0,771","0,798","0,695"
sequenza_first_fragment_robison,"1,000","0,999","0,569","0,705","0,495"
sequenza_second_fragment_robison,"1,000","0,999","0,619","0,751","0,527"
sequenza_fourth_fragment_robison,"1,000","1,000","0,548","0,605","0,466"
sequenza_sixth_fragment_robison,"1,000","0,999","0,230","0,438","0,189"
