Audio Fragment,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Raw Chroma Accuracy,Overall Accuracy
allemande_first_fragment_nicolet,"0,8216","0,2257","0,7080","0,7148","0,7109"
allemande_first_fragment_larrieu,"0,8409","0,1845","0,7697","0,7751","0,7709"
allemande_second_fragment_gerard,"0,8240","0,2264","0,7354","0,7477","0,7371"
allemande_second_fragment_preston,"0,7675","0,0000","0,6335","0,6443","0,6487"
allemande_third_fragment_rampal,"0,8705","0,0054","0,7689","0,7849","0,7779"
allemande_third_fragment_nicolet,"0,7921","0,0000","0,6690","0,6915","0,6701"
allemande_fourth_fragment_larrieu,"0,8522","0,5220","0,6311","0,6319","0,6262"
allemande_fourth_fragment_gerard,"0,7874","0,1524","0,7171","0,7185","0,7207"
allemande_fifth_fragment_preston,"0,8606","0,9652","0,5986","0,7159","0,5563"
allemande_fifth_fragment_rampal,"0,8272","0,8685","0,4999","0,6387","0,4660"
syrinx_first_fragment_douglas,"0,9660","0,0178","0,9405","0,9406","0,9468"
syrinx_first_fragment_bernold,"0,9029","0,0000","0,8816","0,8817","0,9023"
syrinx_second_fragment_dwyer,"0,9512","0,0075","0,9201","0,9307","0,9271"
syrinx_second_fragment_bourdin,"0,9525","0,1075","0,9161","0,9227","0,9121"
syrinx_third_fragment_rhodes,"0,9022","0,2566","0,6129","0,7065","0,6278"
syrinx_third_fragment_douglas,"0,6781","0,0000","0,5780","0,6539","0,5970"
syrinx_fourth_fragment_bernold,"0,8889","0,4458","0,7117","0,7178","0,6991"
syrinx_fourth_fragment_dwyer,"0,9012","0,2322","0,8345","0,8445","0,8284"
syrinx_fifth_fragment_bourdin,"0,8013","0,5715","0,6711","0,6729","0,6385"
syrinx_fifth_fragment_rhodes,"0,9013","0,7168","0,6968","0,7041","0,6276"
density_first_fragment_zoon,"0,9717","0,4477","0,9545","0,9575","0,9064"
density_second_fragment_zoon,"0,7460","0,5634","0,7251","0,7251","0,6793"
density_third_fragment_zoon,"0,7548","0,7143","0,7293","0,7380","0,5652"
density_fourth_fragment_beauregard,"0,8680","0,0656","0,7756","0,8240","0,8003"
density_fifth_fragment_beauregard,"0,9649","0,9972","0,5033","0,9477","0,4168"
density_sixth_fragment_beauregard,"0,8075","0,1022","0,6918","0,7856","0,7122"
sequenza_first_fragment_robison,"0,8415","0,7019","0,7141","0,7304","0,6601"
sequenza_second_fragment_robison,"0,6645","0,8033","0,5619","0,5938","0,5073"
sequenza_fourth_fragment_robison,"0,7361","0,3216","0,6551","0,6775","0,6586"
sequenza_sixth_fragment_robison,"0,7668","0,2660","0,3470","0,4690","0,4166"
