Audio Fragment,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Overall Accuracy
allemande_first_fragment_nicolet,"1,000","0,997","0,507","0,485"
allemande_first_fragment_larrieu,"1,000","0,995","0,565","0,550"
allemande_second_fragment_gerard,"1,000","0,997","0,539","0,515"
allemande_second_fragment_preston,"1,000","0,997","0,028","0,027"
allemande_third_fragment_rampal,"1,000","0,995","0,573","0,551"
allemande_third_fragment_nicolet,"1,000","0,933","0,421","0,420"
allemande_fourth_fragment_larrieu,"1,000","0,995","0,485","0,470"
allemande_fourth_fragment_gerard,"1,000","0,994","0,561","0,545"
allemande_fifth_fragment_preston,"1,000","0,998","0,008","0,008"
allemande_fifth_fragment_rampal,"1,000","0,998","0,237","0,216"
syrinx_first_fragment_douglas,"1,000","0,905","0,840","0,727"
syrinx_first_fragment_bernold,"1,000","0,999","0,916","0,756"
syrinx_second_fragment_dwyer,"1,000","0,999","0,912","0,824"
syrinx_second_fragment_bourdin,"1,000","0,999","0,886","0,739"
syrinx_third_fragment_rhodes,"1,000","0,999","0,301","0,266"
syrinx_third_fragment_douglas,"1,000","0,998","0,802","0,767"
syrinx_fourth_fragment_bernold,"1,000","0,998","0,747","0,687"
syrinx_fourth_fragment_dwyer,"1,000","0,999","0,828","0,752"
syrinx_fifth_fragment_bourdin,"1,000","1,000","0,548","0,474"
syrinx_fifth_fragment_rhodes,"1,000","1,000","0,358","0,298"
density_first_fragment_zoon,"1,000","1,000","0,890","0,784"
density_second_fragment_zoon,"1,000","0,999","0,922","0,775"
density_third_fragment_zoon,"1,000","1,000","0,854","0,538"
density_fourth_fragment_beauregard,"1,000","0,999","0,693","0,585"
density_fifth_fragment_beauregard,"1,000","1,000","0,947","0,784"
density_sixth_fragment_beauregard,"1,000","0,999","0,855","0,771"
sequenza_first_fragment_robison,"1,000","0,999","0,667","0,580"
sequenza_second_fragment_robison,"1,000","0,999","0,599","0,510"
sequenza_fourth_fragment_robison,"1,000","1,000","0,637","0,543"
sequenza_sixth_fragment_robison,"1,000","0,999","0,242","0,198"
