Audio Fragment,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Raw Chroma Accuracy,Overall Accuracy
allemande_first_fragment_nicolet,"1,0000","0,9971","0,5584","0,6495","0,5338"
allemande_first_fragment_larrieu,"1,0000","0,9951","0,5750","0,6568","0,5603"
allemande_second_fragment_gerard,"1,0000","0,9966","0,6001","0,7277","0,5736"
allemande_second_fragment_preston,"1,0000","0,9970","0,4545","0,5628","0,4358"
allemande_third_fragment_rampal,"1,0000","0,9946","0,6161","0,7474","0,5918"
allemande_third_fragment_nicolet,"1,0000","0,9333","0,5044","0,6174","0,5030"
allemande_fourth_fragment_larrieu,"1,0000","0,9951","0,4738","0,5891","0,4587"
allemande_fourth_fragment_gerard,"1,0000","0,9939","0,5455","0,7418","0,5303"
allemande_fifth_fragment_preston,"1,0000","0,9982","0,4690","0,5866","0,4339"
allemande_fifth_fragment_rampal,"1,0000","0,9983","0,2392","0,3630","0,2173"
syrinx_first_fragment_douglas,"1,0000","0,9055","0,8785","0,9045","0,7597"
syrinx_first_fragment_bernold,"1,0000","0,9994","0,9275","0,9373","0,7658"
syrinx_second_fragment_dwyer,"1,0000","0,9989","0,9364","0,9410","0,8457"
syrinx_second_fragment_bourdin,"1,0000","0,9994","0,8994","0,9150","0,7501"
syrinx_third_fragment_rhodes,"1,0000","0,9991","0,3297","0,3371","0,2921"
syrinx_third_fragment_douglas,"1,0000","0,9976","0,8724","0,9330","0,8334"
syrinx_fourth_fragment_bernold,"1,0000","0,9984","0,7458","0,7691","0,6865"
syrinx_fourth_fragment_dwyer,"1,0000","0,9989","0,8447","0,8922","0,7677"
syrinx_fifth_fragment_bourdin,"1,0000","0,9996","0,5569","0,5637","0,4821"
syrinx_fifth_fragment_rhodes,"1,0000","0,9997","0,3758","0,3782","0,3130"
density_first_fragment_zoon,"1,0000","0,9995","0,9011","0,9191","0,7935"
density_second_fragment_zoon,"1,0000","0,9995","0,9181","0,9348","0,7723"
density_third_fragment_zoon,"1,0000","0,9998","0,8372","0,8997","0,5276"
density_fourth_fragment_beauregard,"1,0000","0,9995","0,6522","0,7038","0,5509"
density_fifth_fragment_beauregard,"1,0000","0,9995","0,8835","0,9135","0,7309"
density_sixth_fragment_beauregard,"1,0000","0,9994","0,8548","0,8943","0,7702"
sequenza_first_fragment_robison,"1,0000","0,9993","0,6360","0,7077","0,5535"
sequenza_second_fragment_robison,"1,0000","0,9988","0,5978","0,7179","0,5085"
sequenza_fourth_fragment_robison,"1,0000","0,9996","0,7207","0,7590","0,6134"
sequenza_sixth_fragment_robison,"1,0000","0,9991","0,2211","0,3856","0,1816"
